sample_id,aneuploidy_score,fga
P-0000057-T01-IM3,0.804878049,0.965865023
P-0000062-T01-IM3,0.536585366,0.649417693
P-0000063-T01-IM3,0.43902439,0.669730187
P-0000071-T01-IM3,0.195121951,0.240711738
P-0000082-T01-IM3,0.463414634,0.494979494
P-0000088-T01-IM3,0.365853659,0.413652323
P-0000103-T01-IM3,0.512195122,0.527991616
P-0000121-T01-IM3,0.243902439,0.220580808
P-0000165-T01-IM3,0.634146341,0.655018965
P-0000184-T01-IM3,0.463414634,0.404249049
P-0000205-T01-IM3,0.634146341,0.7131192
P-0000208-T01-IM3,0.243902439,0.274192756
P-0000222-T01-IM3,0.268292683,0.246219918
P-0000223-T01-IM3,0.341463415,0.52963289
P-0000227-T01-IM3,0.097560976,0.065989477
P-0000235-T01-IM3,0.390243902,0.389459124
P-0000247-T01-IM3,0.146341463,0.212203422
P-0000249-T02-IM3,0.365853659,0.455041262
P-0000268-T01-IM3,0.048780488,0.08344666
P-0000277-T01-IM3,0.292682927,0.321980757
P-0000302-T01-IM3,0,5.03E-06
P-0000350-T01-IM3,0.317073171,0.252304116
P-0000363-T01-IM3,0.414634146,0.507493324
P-0000369-T01-IM3,0,0.009416802
P-0000392-T01-IM3,0.024390244,0.028360748
P-0000422-T01-IM3,0.707317073,0.738321763
P-0000423-T01-IM3,0.634146341,0.519731415
P-0000444-T01-IM3,0.512195122,0.614654648
P-0000447-T01-IM3,0.829268293,0.894672714
P-0000454-T01-IM3,0.146341463,0.182158139
P-0000458-T01-IM3,0.170731707,0.120744327
P-0000535-T01-IM3,0.43902439,0.461218484
P-0000544-T01-IM3,0,6.21E-04
P-0000547-T01-IM3,0.390243902,0.374036397
P-0000553-T01-IM3,0.609756098,0.713880168
P-0000563-T01-IM3,0.365853659,0.402723327
P-0000596-T01-IM3,0.512195122,0.571814052
P-0000604-T01-IM3,0.073170732,0.073949978
P-0000621-T01-IM3,0.292682927,0.287890482
P-0000628-T01-IM3,0.707317073,0.726057464
P-0000638-T01-IM3,0.048780488,0.025262215
P-0000646-T02-IM3,0.512195122,0.485884301
P-0000670-T01-IM3,0.048780488,0.039061905
P-0000681-T01-IM3,0.390243902,0.348903244
P-0000682-T01-IM3,0.12195122,0.15858292
P-0000686-T01-IM3,0.585365854,0.722639624
P-0000697-T01-IM3,0.463414634,0.611235062
P-0000699-T01-IM3,0.512195122,0.555161694
P-0000702-T01-IM3,0.268292683,0.244173505
P-0000704-T01-IM3,0.292682927,0.45744223
P-0000721-T01-IM3,0.536585366,0.56031031
P-0000731-T01-IM3,0.609756098,0.689522367
P-0000739-T01-IM3,0.682926829,0.729716537
P-0000740-T01-IM3,0.951219512,0.947480599
P-0000746-T01-IM3,0.268292683,0.350082357
P-0000749-T01-IM3,0.463414634,0.567488024
P-0000758-T01-IM3,0.43902439,0.39174001
P-0000762-T01-IM3,0.536585366,0.48543586
P-0000768-T01-IM3,0.682926829,0.610608437
P-0000793-T02-IM5,0.536585366,0.56259633
P-0000818-T01-IM3,0.804878049,0.853456375
P-0000867-T01-IM3,0.487804878,0.571189176
P-0000872-T01-IM3,0.097560976,0.11461837
P-0000880-T01-IM3,0.024390244,0.025652367
P-0000891-T01-IM3,0.317073171,0.26996238
P-0000893-T01-IM3,0.731707317,0.645510176
P-0000894-T01-IM3,0.463414634,0.488137364
P-0000895-T01-IM3,0.585365854,0.647117645
P-0000898-T01-IM3,0.243902439,0.233186367
P-0000922-T01-IM3,0.292682927,0.319455099
P-0000938-T01-IM3,0.268292683,0.267910416
P-0000940-T01-IM3,0.341463415,0.32715539
P-0000958-T01-IM3,0.56097561,0.58474763
P-0000968-T01-IM3,0.365853659,0.359103131
P-0000977-T01-IM3,0.317073171,0.385860475
P-0000978-T01-IM3,0.024390244,0.01210513
P-0001029-T01-IM3,0.658536585,0.958736552
P-0001052-T01-IM3,0.195121951,0.226069872
P-0001074-T01-IM3,0.317073171,0.37406071
P-0001081-T01-IM3,0.609756098,0.670774482
P-0001093-T01-IM3,0.170731707,0.188773057
P-0001121-T01-IM3,0.87804878,0.888855918
P-0001135-T02-IM3,0.073170732,0.116452389
P-0001144-T01-IM3,0.536585366,0.613352481
P-0001170-T01-IM3,0.463414634,0.441177981
P-0001171-T01-IM3,0.707317073,0.778953928
P-0001174-T01-IM3,0.707317073,0.794081097
P-0001179-T01-IM3,0.195121951,0.377911639
P-0001186-T01-IM3,0.292682927,0.299817644
P-0001199-T01-IM3,0.512195122,0.573022137
P-0001223-T01-IM3,0.073170732,0.083166155
P-0001232-T01-IM3,0.170731707,0.195654317
P-0001260-T01-IM3,0.097560976,0.115273
P-0001268-T01-IM3,0.707317073,0.791191708
P-0001296-T01-IM3,0.56097561,0.627407708
P-0001298-T01-IM3,0.12195122,0.177270762
P-0001312-T01-IM3,0.609756098,0.678994716
P-0001314-T01-IM3,0.536585366,0.723926391
P-0001361-T01-IM3,0.682926829,0.679997062
P-0001365-T01-IM3,0.853658537,0.895033315
P-0001371-T01-IM3,0,0.002729539
P-0001385-T01-IM3,0.146341463,0.147232387
P-0001388-T01-IM3,0.268292683,0.242726388
P-0001400-T01-IM3,0.268292683,0.261001417
P-0001406-T01-IM3,0.268292683,0.317096078
P-0001408-T01-IM3,0.243902439,0.239066686
P-0001420-T01-IM3,0.634146341,0.718431
P-0001437-T01-IM3,0.097560976,0.077863435
P-0001485-T01-IM3,0.146341463,0.166494155
P-0001495-T01-IM3,0.512195122,0.613793329
P-0001531-T01-IM3,0.43902439,0.381736043
