sample	aneuploidy_score
GENIE-GRCC-00a3d2bd-metastasis-a	0.075
GENIE-GRCC-024aaa1e-metastasis-a	0.65
GENIE-GRCC-02ecc7b1-metastasis-a	0.615384615384615
GENIE-GRCC-0601c765-metastasis-a	0.025
GENIE-GRCC-06220d3b-metastasis-a	0.179487179487179
GENIE-GRCC-0661bfa5-metastasis-a	0.35
GENIE-GRCC-06d79b10-metastasis-a	0.075
GENIE-GRCC-08a79d15-metastasis-a	0.4
GENIE-GRCC-0a11de62-metastasis-a	0.05
GENIE-GRCC-0a27c512-metastasis-a	0.65
GENIE-GRCC-0a40b6af-metastasis-a	0.675
GENIE-GRCC-0b599509-metastasis-a	0.125
GENIE-GRCC-0b7eed58-metastasis-a	0.625
GENIE-GRCC-0d15638d-metastasis-a	0.35
GENIE-GRCC-0d2cb8bd-metastasis-a	0.256410256410256
GENIE-GRCC-0d33ed35-metastasis-a	0.425
GENIE-GRCC-0dae3b0e-metastasis-a	0.525
GENIE-GRCC-0ddc445b-metastasis-a	0.475
GENIE-GRCC-0e3376ff-metastasis-a	0.15
GENIE-GRCC-109f4fb4-metastasis-a	0
GENIE-GRCC-123ce5c0-metastasis-a	0
GENIE-GRCC-1335effb-metastasis-a	0.128205128205128
GENIE-GRCC-1359b117-metastasis-a	0.4
GENIE-GRCC-14ddea36-metastasis-a	0.5
GENIE-GRCC-160af1e9-metastasis-a	0.275
GENIE-GRCC-16b16e1e-metastasis-a	0.4
GENIE-GRCC-17d0f8f8-metastasis-a	0.15
GENIE-GRCC-18fce8dd-metastasis-a	0.475
GENIE-GRCC-19c9d13e-metastasis-a	0.35
GENIE-GRCC-1a5111c1-metastasis-a	0.666666666666667
GENIE-GRCC-1aa201f3-metastasis-a	0.475
GENIE-GRCC-1af4f4d9-metastasis-a	0.025
GENIE-GRCC-1c431d61-metastasis-a	0.05
GENIE-GRCC-1cd344fd-metastasis-a	0.641025641025641
GENIE-GRCC-1de90af8-metastasis-a	0.55
GENIE-GRCC-1efb610d-metastasis-a	0.025
GENIE-GRCC-2019dd43-metastasis-a	0.1
GENIE-GRCC-2046f159-metastasis-a	0.05
GENIE-GRCC-209c7be0-metastasis-a	0.225
GENIE-GRCC-20ead3ef-metastasis-a	0.05
GENIE-GRCC-212e483c-metastasis-a	0.375
GENIE-GRCC-21d9f93d-metastasis-a	0.325
GENIE-GRCC-2245ca0a-metastasis-a	0.45
GENIE-GRCC-22a68192-metastasis-a	0.625
GENIE-GRCC-2341a209-metastasis-a	0.55
GENIE-GRCC-263ecbc0-metastasis-a	0.475
GENIE-GRCC-269f8986-metastasis-a	0.435897435897436
GENIE-GRCC-271b60ef-metastasis-a	0.4
GENIE-GRCC-29b83ba3-metastasis-a	0.475
GENIE-GRCC-2a438879-metastasis-a	0
GENIE-GRCC-2c495f5b-metastasis-a	0.2
GENIE-GRCC-2c8cdfde-metastasis-a	0.230769230769231
GENIE-GRCC-2c9f4334-metastasis-a	0.65
GENIE-GRCC-2ce2d549-metastasis-a	0.55
GENIE-GRCC-2cfe0979-metastasis-a	0.45
GENIE-GRCC-2dae50d5-metastasis-a	0.461538461538462
GENIE-GRCC-2dea7bef-metastasis-a	0.25
GENIE-GRCC-2e3429e8-metastasis-a	0.575
GENIE-GRCC-2e515850-metastasis-a	0.282051282051282
GENIE-GRCC-2e66e34b-metastasis-a	0.307692307692308
GENIE-GRCC-2e6f666f-metastasis-a	0.375
GENIE-GRCC-3057aa79-metastasis-a	0.6
GENIE-GRCC-308b787d-metastasis-a	0.475
GENIE-GRCC-308d15ed-metastasis-a	0
GENIE-GRCC-30ea12dc-metastasis-a	0
GENIE-GRCC-3104c598-metastasis-a	0.325
GENIE-GRCC-318ff024-metastasis-a	0.512820512820513
GENIE-GRCC-31b54954-metastasis-a	0.45
GENIE-GRCC-327a5383-metastasis-a	0.4
GENIE-GRCC-32a20df2-metastasis-a	0.1
GENIE-GRCC-35c973a3-metastasis-a	0
GENIE-GRCC-36d92f7a-metastasis-a	0
GENIE-GRCC-36e13451-metastasis-a	0.435897435897436
GENIE-GRCC-379fcb14-metastasis-a	0.307692307692308
GENIE-GRCC-37c72b23-metastasis-a	0.575
GENIE-GRCC-3807cf51-metastasis-a	0.15
GENIE-GRCC-3876a061-metastasis-a	0.512820512820513
GENIE-GRCC-395f4adb-metastasis-a	0.55
GENIE-GRCC-39f64bf3-metastasis-a	0.15
GENIE-GRCC-3a16d601-metastasis-a	0.256410256410256
GENIE-GRCC-3ac186ed-metastasis-a	0.275
GENIE-GRCC-3ac3076a-metastasis-a	0.05
GENIE-GRCC-3bc29fb6-metastasis-a	0.1
GENIE-GRCC-3bdf8af9-metastasis-a	0.65
GENIE-GRCC-3c90e108-metastasis-a	0
GENIE-GRCC-3e16fef9-metastasis-a	0.275
GENIE-GRCC-3f379607-metastasis-a	0.525
GENIE-GRCC-3f4c9a2f-metastasis-a	0.6
GENIE-GRCC-3fa4469a-metastasis-a	0.45
GENIE-GRCC-3febe14f-metastasis-a	0
GENIE-GRCC-41d4dbe3-metastasis-a	0.35
GENIE-GRCC-421a3702-metastasis-a	0.225
GENIE-GRCC-428e538e-metastasis-a	0.05
GENIE-GRCC-42edaff7-metastasis-a	0.2
GENIE-GRCC-42fc9215-metastasis-a	0.125
GENIE-GRCC-4378aefb-metastasis-a	0.7
GENIE-GRCC-43c51fd8-metastasis-a	0
GENIE-GRCC-43f1feb1-metastasis-a	0.75
GENIE-GRCC-4456d3b5-metastasis-a	0.65
GENIE-GRCC-4513a0d3-metastasis-a	0
GENIE-GRCC-455f8771-metastasis-a	0.525
GENIE-GRCC-45c7366c-metastasis-a	0.4
GENIE-GRCC-462cdd33-metastasis-a	0.230769230769231
GENIE-GRCC-4711d03f-metastasis-a	0.15
GENIE-GRCC-476c7cd8-metastasis-a	0.25
GENIE-GRCC-4901c5e8-metastasis-a	0.153846153846154
GENIE-GRCC-4b23d69d-metastasis-a	0.3
GENIE-GRCC-4b5b7429-metastasis-a	0.05
GENIE-GRCC-4bf10417-metastasis-a	0.1
GENIE-GRCC-4c806072-metastasis-a	0.175
GENIE-GRCC-4d4993f7-metastasis-a	0.615384615384615
GENIE-GRCC-4d4db1c3-metastasis-a	0.128205128205128
GENIE-GRCC-4d526ee4-metastasis-a	0.55
GENIE-GRCC-4d7b8909-metastasis-a	0.05
GENIE-GRCC-4da07383-metastasis-a	0.425
GENIE-GRCC-4daf6600-metastasis-a	0.5
GENIE-GRCC-4ddfa921-metastasis-a	0.3
GENIE-GRCC-4e4313d8-metastasis-a	0.5
GENIE-GRCC-4f168dad-metastasis-a	0.05
GENIE-GRCC-4f21e355-metastasis-a	0.256410256410256
GENIE-GRCC-4f31849a-metastasis-a	0.179487179487179
GENIE-GRCC-4fa53943-metastasis-a	0.65
GENIE-GRCC-51c83c6e-metastasis-a	0.575
GENIE-GRCC-55f37f43-metastasis-a	0.325
GENIE-GRCC-5725b36e-metastasis-a	0.375
GENIE-GRCC-576d19db-metastasis-a	0.525
